StatusDateTime,StatusDateTime1,StatusKey,StateDuration
9-Jul-18,16:19:09,logged out,0
9-Jul-18,16:19:09,not ready,3861
9-Jul-18,17:23:30,not ready,0
10-Jul-18,9:33:34,logged out,0
10-Jul-18,9:33:34,not ready,9
10-Jul-18,9:33:43,at a training session,24221
10-Jul-18,9:47:33,Inbound,300
10-Jul-18,9:57:43,at a training session,175
10-Jul-18,11:35:28,Inbound,18
10-Jul-18,11:39:02,Inbound,32
10-Jul-18,11:40:05,at a training session,25
10-Jul-18,11:56:21,at a training session,61
10-Jul-18,11:57:58,at a training session,59
10-Jul-18,11:58:22,at a training session,53
10-Jul-18,12:03:49,Inbound,86
10-Jul-18,12:04:34,Inbound,19
10-Jul-18,12:05:25,at a training session,80
10-Jul-18,12:05:56,at a training session,51
10-Jul-18,12:07:56,at a training session,48
10-Jul-18,12:08:30,at a training session,42
10-Jul-18,16:17:24,at a training session,0
11-Jul-18,12:49:50,logged out,0
11-Jul-18,12:49:50,not ready,175
11-Jul-18,12:52:22,not ready,9
11-Jul-18,12:52:43,outbound call,1540
11-Jul-18,13:18:24,outbound acw,232
11-Jul-18,13:22:16,at a training session,9823
11-Jul-18,16:05:59,at a training session,0
12-Jul-18,15:35:14,logged out,0
12-Jul-18,15:35:14,not ready,4
12-Jul-18,15:35:18,at a training session,3412
12-Jul-18,15:43:47,at a training session,1276
12-Jul-18,16:32:10,at a training session,0
13-Jul-18,8:59:05,logged out,0
13-Jul-18,8:59:05,not ready,7
13-Jul-18,8:59:12,at a training session,15557
13-Jul-18,9:33:48,Inbound,1008
13-Jul-18,13:18:29,at a training session,0
13-Jul-18,14:25:36,logged out,0
13-Jul-18,14:25:36,not ready,261
13-Jul-18,14:29:57,at a training session,2651
13-Jul-18,14:30:13,Inbound,1133
13-Jul-18,15:14:08,at a training session,0
17-Jul-18,14:28:24,logged out,0
17-Jul-18,14:28:24,not ready,15
17-Jul-18,14:28:39,at a training session,157
17-Jul-18,14:31:16,administration,4
17-Jul-18,14:31:20,administration,0
17-Jul-18,14:32:14,logged out,0
17-Jul-18,14:32:14,not ready,12
17-Jul-18,14:32:26,at a training session,8
17-Jul-18,14:32:34,administration,1
17-Jul-18,14:32:35,administration,0
23-Jul-18,18:00:21,logged out,0
23-Jul-18,18:00:21,not ready,29
23-Jul-18,18:00:50,at a training session,1398
23-Jul-18,18:08:17,Inbound,8
23-Jul-18,18:21:35,Inbound,11
23-Jul-18,18:22:34,at a training session,10
23-Jul-18,18:24:08,at a training session,0
23-Jul-18,18:24:42,logged out,0
23-Jul-18,18:24:42,not ready,916
23-Jul-18,18:39:58,at a training session,5213
23-Jul-18,20:06:51,break,724
23-Jul-18,20:18:55,at a training session,2891
23-Jul-18,21:06:28,Inbound,814
23-Jul-18,21:07:06,available,11
23-Jul-18,21:07:17,on acd call,765
23-Jul-18,21:20:02,acw,625
23-Jul-18,21:30:27,available,606
23-Jul-18,21:40:33,break,2023
23-Jul-18,22:14:16,at a training session,49
23-Jul-18,22:15:05,available,264
23-Jul-18,22:19:22,Inbound,160
23-Jul-18,22:19:29,on acd call,153
23-Jul-18,22:22:02,acw,168
23-Jul-18,22:24:50,available,1344
23-Jul-18,22:47:04,Inbound,2538
23-Jul-18,22:47:14,on acd call,2529
23-Jul-18,23:29:23,acw,425
23-Jul-18,23:36:28,break,11
23-Jul-18,23:36:39,at a training session,682
23-Jul-18,23:48:01,available,284
23-Jul-18,23:52:36,Inbound,265
23-Jul-18,23:52:45,on acd call,257
23-Jul-18,23:56:10,Inbound,952
23-Jul-18,23:57:02,acw,215
24-Jul-18,0:00:37,available,7
24-Jul-18,0:00:44,on acd call,678
24-Jul-18,0:12:02,acw,269
24-Jul-18,0:14:50,Inbound,332
24-Jul-18,0:16:31,available,11
24-Jul-18,0:16:42,on acd call,220
24-Jul-18,0:20:22,acw,205
24-Jul-18,0:23:47,break,611
24-Jul-18,0:33:58,at a training session,23
24-Jul-18,0:34:21,available,956
24-Jul-18,0:50:06,Inbound,2195
24-Jul-18,0:50:17,on acd call,2184
24-Jul-18,1:26:41,acw,221
24-Jul-18,1:30:22,at a training session,1811
24-Jul-18,2:00:33,administration,594
